lane_id,carrier_id
1,1
1,2
1,4
1,5
1,7
16,1
16,2
16,6
16,7
31,1
31,2
31,6
31,7
46,1
46,2
46,7
61,1
61,2
61,4
61,5
61,7
76,1
76,2
76,4
76,6
76,7
91,1
91,2
91,4
91,7
106,1
106,2
106,6
106,7
121,1
121,2
121,4
121,5
121,7
136,1
136,2
136,4
136,6
136,7
2,1
2,2
2,3
2,5
2,6
17,1
17,2
17,4
17,7
32,1
32,2
32,3
32,4
32,5
47,1
47,2
47,5
47,7
62,1
62,2
62,3
62,6
77,1
77,2
77,3
77,4
77,5
92,1
92,2
92,3
92,6
107,1
107,2
107,4
107,7
122,1
122,2
122,3
122,4
122,5
122,6
137,1
137,2
137,3
137,5
3,1
3,2
3,3
3,5
3,6
18,1
18,2
18,4
18,7
33,1
33,2
33,3
33,4
33,6
48,1
48,2
48,5
48,6
48,7
63,1
63,2
63,3
63,5
63,6
78,1
78,2
78,3
78,4
93,1
93,2
93,3
108,1
108,2
108,5
108,7
123,1
123,2
123,3
123,4
123,5
123,6
138,1
138,2
138,3
138,4
138,6
4,1
4,2
4,5
4,7
19,1
19,2
19,4
19,6
19,7
34,1
34,2
34,4
34,6
34,7
49,1
49,2
49,5
49,6
49,7
64,1
64,2
64,6
64,7
79,1
79,2
79,4
79,5
79,7
109,1
109,2
109,7
124,1
124,2
124,4
124,7
139,1
139,2
139,4
139,5
139,7
94,1
94,2
94,5
94,6
94,7
5,1
5,2
5,3
5,5
5,6
20,1
20,2
20,4
20,5
20,7
35,1
35,2
35,3
35,4
50,1
50,2
50,4
50,7
65,1
65,2
65,3
65,4
65,6
80,1
80,2
80,3
80,5
95,1
95,2
95,3
110,1
110,2
110,5
110,7
125,1
125,2
125,3
125,4
125,6
140,1
140,2
140,3
140,4
140,5
6,1
6,2
6,3
6,5
21,1
21,2
21,5
21,6
21,7
36,1
36,2
36,3
36,4
36,6
51,1
51,2
51,4
51,6
51,7
66,1
66,2
66,3
66,4
66,5
81,1
81,2
81,3
81,4
81,5
81,6
96,1
96,2
96,3
96,4
111,1
111,2
111,5
111,7
126,1
126,2
126,3
141,1
141,2
141,3
141,5
7,1
7,2
7,4
7,7
22,1
22,2
22,4
22,7
37,1
37,2
37,5
37,6
37,7
52,1
52,2
52,5
52,7
67,1
67,2
67,4
67,7
82,1
82,2
82,4
82,6
82,7
127,1
127,2
127,4
127,5
127,7
142,1
142,2
142,4
142,6
142,7
97,1
97,2
97,6
97,7
112,1
112,2
112,4
112,6
112,7
8,1
8,2
8,3
8,4
8,5
23,1
23,2
23,6
23,7
38,1
38,2
38,3
38,4
38,6
53,1
53,2
53,6
53,7
68,1
68,2
68,3
68,4
68,5
83,1
83,2
83,3
83,5
83,6
98,1
98,2
98,3
98,5
113,1
113,2
113,6
113,7
128,1
128,2
128,3
128,4
128,5
143,1
143,2
143,3
143,6
9,1
9,2
9,3
9,4
9,5
24,1
24,2
24,6
24,7
39,1
39,2
39,3
39,4
39,6
54,1
54,2
54,6
54,7
69,1
69,2
69,3
69,4
69,5
84,1
84,2
84,3
99,1
99,2
99,3
99,5
99,6
114,1
114,2
114,6
114,7
129,1
129,2
129,3
129,4
129,5
129,6
144,1
144,2
144,3
144,6
10,1
10,2
10,3
10,4
10,5
25,1
25,2
25,4
25,5
25,7
40,1
40,2
40,3
40,4
55,1
55,2
55,5
55,7
70,1
70,2
70,3
70,4
70,6
85,1
85,2
85,3
85,4
85,6
100,1
100,2
100,3
100,4
100,5
115,1
115,2
115,4
115,6
115,7
130,1
130,2
130,3
130,4
130,5
145,1
145,2
145,3
145,4
145,6
11,1
11,2
11,3
11,4
11,6
26,1
26,2
26,4
26,7
41,1
41,2
41,3
41,5
41,6
56,1
56,2
56,4
56,7
71,1
71,2
71,3
71,4
86,1
86,2
86,3
86,5
101,1
101,2
101,3
101,5
101,6
116,1
116,2
116,4
116,7
131,1
131,2
131,3
131,4
131,6
146,1
146,2
146,3
146,5
146,6
12,1
12,2
12,3
12,4
12,5
27,1
27,2
27,4
27,6
27,7
42,1
42,2
42,3
42,4
57,1
57,2
57,4
57,6
57,7
72,1
72,2
72,3
87,4
87,1
87,2
87,3
87,6
102,1
102,2
102,3
102,4
102,5
117,1
117,2
117,4
117,6
117,7
132,1
132,2
132,3
132,5
132,6
147,1
147,2
147,3
147,4
147,6
13,1
13,2
13,3
13,5
13,6
28,1
28,2
28,6
28,7
43,1
43,2
43,3
43,5
43,6
58,1
58,2
58,6
58,7
73,1
73,2
73,3
73,4
73,6
88,1
88,2
88,3
88,4
88,6
103,1
103,2
103,3
103,5
103,6
118,1
118,2
118,6
118,7
133,1
133,2
133,3
133,5
133,6
148,1
148,2
148,3
148,5
14,1
14,2
14,4
14,7
29,1
29,2
29,7
44,1
44,2
44,5
44,6
44,7
59,1
59,2
59,4
59,6
59,7
74,1
74,2
74,4
74,7
89,1
89,2
89,5
89,6
89,7
104,1
104,2
104,5
104,7
119,1
119,2
119,4
119,5
119,7
134,1
134,2
134,5
134,6
134,7
149,1
149,2
149,6
149,7
15,1
15,2
15,3
15,4
15,6
30,1
30,2
30,4
30,5
30,7
45,1
45,2
45,3
45,5
45,6
60,1
60,2
60,6
60,7
75,1
75,2
75,3
75,4
90,1
90,2
90,3
90,5
90,6
105,1
105,2
105,3
105,5
120,1
120,2
120,4
120,6
120,7
135,1
135,2
135,3
135,5
135,6
150,1
150,2
150,3
150,5
150,6